id,category,faithfulness,factual_correctness,context_precision,context_recall,factual_correctness_reference_used,error
F15,factual,1.0,0.0,0.9999999999,1.0,Since which Kubernetes version can a ConfigMap be marked immutable? v1.19.,
C14,conceptual,0.0,0.0,0.0,0.0,"Why doesn't a failed readiness probe cause a container restart, unlike a failed liveness probe? Readiness is about whether a container is currently fit to receive traffic, not whether it's broken - a container can be temporarily unready (e.g. warming a cache) without being unhealthy. So a readiness failure only removes the Pod from Service endpoints; only a liveness failure, which signals the app is stuck, triggers a restart.",
OR08,object_relations,1.0,0.22,0.9999999999,0.0,"A CronJob has been running on schedule for months without any history-limit fields set explicitly. How many completed Job objects does it keep around, and does that number differ for successful versus failed runs? Yes, it differs. By default the CronJob keeps the 3 most recent successful Jobs (`.spec.successfulJobsHistoryLimit` defaults to 3) but only the 1 most recent failed Job (`.spec.failedJobsHistoryLimit` defaults to 1). Older Jobs beyond those limits are cleaned up automatically.",
MD06,multi_document,0.3333333333333333,0.4,0.8333333332916666,0.5,"If a Pod's readiness probe starts failing, what immediately happens to its membership in the Services that route to it, and does the Pod get restarted as a result? The EndpointSlice controller removes the Pod's IP address from the EndpointSlices of any Service that selects it, so it stops receiving traffic through those Services. The Pod itself is not restarted - a failed readiness probe never triggers a restart, only a failed liveness probe does.",
P13,procedural,0.3333333333333333,0.5,0.0,0.0,How do you configure a CronJob to keep only 1 completed Job in its history? Set `.spec.successfulJobsHistoryLimit: 1`.,
MD07,multi_document,0.75,0.5,0.3333333333,1.0,"If you update a ConfigMap that's mounted as a volume in a running Pod, will the Pod's containers see the new values without being restarted - and is the update instant? Yes, mounted ConfigMap volumes are updated without a Pod restart, but not instantly: the kubelet refreshes its cached copy on its periodic sync, so the total delay is the kubelet sync period plus the cache's propagation delay (which depends on the configured change-detection strategy).",
C15,conceptual,1.0,0.8,0.9999999999,1.0,"What is the purpose of `ttlSecondsAfterFinished` on a Job, and why does the documentation recommend setting it? It lets the Job controller automatically clean up a Job (and its Pods) a set number of seconds after it finishes, instead of leaving completed Jobs around forever. It's recommended because unmanaged, un-cleaned-up Jobs otherwise accumulate indefinitely.",
F16,factual,1.0,1.0,0.9999999999,0.0,"Are Kubernetes Secrets encrypted by default in etcd? No - by default Secrets are stored unencrypted (only base64-encoded, not encrypted) in the API server's underlying etcd data store.",
OR09,object_relations,0.4,0.0,0.9999999999,1.0,"A StatefulSet uses `volumeClaimTemplates` and has never had `.spec.persistentVolumeClaimRetentionPolicy` configured. If one of its Pods fails due to a node failure and the control plane creates a replacement Pod, does that replacement get a fresh, empty PVC or the original one? The original one. The retention policy (default `Retain` for both `whenDeleted` and `whenScaled`) only governs what happens to PVCs when the StatefulSet itself is deleted or scaled down - it does not apply when a Pod is replaced due to failure. In that case the StatefulSet always retains the existing PVC and volume regardless of the configured policy, and attaches it to the new Pod on whichever node it's scheduled to.",
P14,procedural,0.5,0.0,0.0,0.0,"How do you configure an `emptyDir` volume to be backed by RAM (tmpfs) instead of node disk? Set `emptyDir.medium: ""Memory""` on the volume.",
MD08,multi_document,0.8,0.89,0.49999999995,1.0,"When you update a Deployment's Pod template, does Kubernetes modify the existing ReplicaSet in place, or does something else happen? Something else: the Deployment controller creates a new ReplicaSet for the updated template and gradually shifts replicas from the old ReplicaSet to the new one (for RollingUpdate). A ReplicaSet's own job is just to keep its own fixed template's replica count correct - it isn't designed to be edited in place across template versions by the Deployment.",
F17,factual,0.8,0.25,0.0,0.0,"What are the four PersistentVolume access modes? ReadWriteOnce, ReadOnlyMany, ReadWriteMany, and ReadWriteOncePod.",
CMP01,comparison,1.0,0.5,0.91666666664375,1.0,"What is the key difference between a Deployment and a StatefulSet? A Deployment manages interchangeable, identical Pods with no persistent per-Pod identity - any replica can replace any other. A StatefulSet gives each Pod a stable identity (ordinal index, stable network hostname, and stable per-Pod storage) that survives rescheduling, which Deployments don't provide.",
